compound	subset	sentence_type	sentence	expected_order	image1_name	image1_caption	image2_name	image2_caption	image3_name	image3_caption	image4_name	image4_caption	image5_name	image5_caption
fancy dress	Test	idiomatic	The place got quite lively at one stage as a hen party moved in, with the bride-to-be in fancy dress with large balloons tied onto her.	['65755309474.png', '43670033490.png', '11808985396.png', '72797581852.png', '45389865852.png']	11808985396.png	The image depicts a cartoon-style character of a woman dressed in professional attire. She has long, brown hair styled in a ponytail. The character is wearing a dark-colored suit jacket over a white shirt and a red bow tie. Her left hand is resting on her hip, while her right hand is placed near her chin, suggesting a thoughtful or contemplative pose. The background is plain and light-colored, which helps to highlight the character.	43670033490.png	The image depicts an animated character with a unique and whimsical design. The character has large, expressive eyes and a small mouth, giving it a somewhat surprised or startled expression. The character's hair is dark and wavy, cascading down past the shoulders.\n\nThe most striking feature of the character is its hat, which is designed to look like a rusted, worn-out bucket. The hat is adorned with various elements that add to its quirky appearance:\n- Two metal pipes extend from the top of the hat, curving upwards and ending in what appear to be cans of beer.\n- There are two small orange flowers attached to the sides of the hat, adding a touch of color and nature to the otherwise industrial look.\n- The hat itself has a weathered, distressed appearance, with visible rust and paint peeling off in places, giving it a vintage, used look.\n\nThe character is wearing a simple, off-the-shoulder top made of denim, with lace trim at the neckline. The overall style of the character combines elements of rustic, industrial, and natural themes, creating a visually interesting and imaginative design.	45389865852.png	The image depicts a person wearing a bright orange hard hat and a matching orange jacket with reflective stripes. The individual has their arms crossed, suggesting a confident or assertive posture. The background is plain white, which helps to highlight the subject in the image.	65755309474.png	The image depicts three characters dressed in elaborate costumes, each representing different animals and mythical creatures. \n\n1. **Left Character (Bear)**:\n   - The character on the left is dressed as a bear.\n   - The bear costume is detailed with fur-like textures and features.\n   - The bear has a distinctive face with large, expressive eyes and a wide mouth, giving it a somewhat anthropomorphic appearance.\n   - The bear's outfit includes a jacket with intricate patterns and designs, possibly inspired by traditional or cultural motifs.\n   - The bear also has a pair of shoes that match its overall attire.\n\n2. **Middle Character (Tiger)**:\n   - The middle character is dressed as a tiger.\n   - The tiger costume is vibrant and eye-catching, featuring stripes and other tiger-specific markings.\n   - The tiger has a fierce expression with sharp teeth and a prominent snout.\n   - The tiger's outfit includes a jacket with similar patterns to the bear's, suggesting a coordinated theme.\n   - The tiger also has a pair of shoes that complement its costume.\n\n3. **Right Character (Butterfly)**:\n   - The character on the right is dressed as a butterfly.\n   - The butterfly costume is striking, with large, detailed wings that have a realistic pattern resembling those of a monarch butterfly.\n   - The butterfly has a face with exaggerated features, including large eyes and a pronounced mouth, which adds to its whimsical appearance.\n   - The butterfly's outfit includes a jacket with a unique design, possibly inspired by butterfly wings or patterns.\n   - The butterfly also has a pair of shoes that match its overall attire.\n\n**Analysis**:\n- The characters appear to be part of a themed event or performance, possibly related to a festival, parade, or theatrical production.\n- The costumes are designed to be eye-catching and detailed, with each character representing a distinct animal or mythical creature.\n- The use of traditional or cultural elements in the costumes suggests an appreciation for heritage or folklore.\n- The coordinated outfits indicate a sense of unity among the characters, possibly indicating they are part of a group or team.\n\nOverall, the image portrays a vibrant and creative display of costumes, each with unique details that contribute to a cohesive and visually appealing ensemble.	72797581852.png	The image depicts a group of nine women dressed in elaborate, vintage-style gowns and hats. Each woman is adorned with intricate details and accessories that reflect a historical fashion style, likely from the late 19th to early 20th century.\n\nStarting from the left:\n\n1. The first woman wears a long, off-the-shoulder dress with a high collar and a fitted bodice. Her dress is primarily beige with black accents and features a large, ornate hat with feathers and flowers. She also has a matching handbag.\n\n2. The second woman is dressed in a dark brown gown with a high collar and long sleeves. Her dress is decorated with intricate patterns and she wears a tall, black hat with a feather.\n\n3. The third woman wears a white dress with gold embroidery and a high collar. She has a large, ornate hat with feathers and flowers, and her hair is styled in an updo with additional decorations.\n\n4. The fourth woman is dressed in a long, dark dress with a high collar and long sleeves. Her dress is adorned with lace and floral patterns, and she wears a tall, black hat with a feather.\n\n5. The fifth woman wears a long, white dress with gold floral embroidery and a high collar. She has a large, ornate hat with feathers and flowers, and her hair is styled in an updo with additional decorations.\n\n6. The sixth woman is dressed in a long, dark dress with a high collar and long sleeves. Her dress is adorned with lace and floral patterns, and she wears a tall, black hat with a feather.\n\n7. The seventh woman wears a long, dark dress with a high collar and long sleeves. Her dress is adorned with lace and floral patterns, and she wears a tall, black hat with a feather.\n\n8. The eighth woman is dressed in a long, dark dress with a high collar and long sleeves. Her dress is adorned with lace and floral patterns, and she wears a tall, black hat with a feather.\n\n9. The ninth woman wears a long, dark dress with a high collar and long sleeves. Her dress is adorned with lace and floral patterns, and she wears a tall, black hat with a feather.\n\nEach woman's attire is complemented by her hat, which varies in style but all feature feathers and floral decorations. The dresses themselves are richly detailed with lace, embroidery, and floral patterns, reflecting the opulence and attention to detail typical of historical fashion
snail mail	Test	idiomatic	After all, they barely even have snail mail in some of those remote places.	['24639326786.png', '31049454151.png', '91154094962.png', '27018692457.png', '09254572954.png']	09254572954.png	The image depicts a colorful food truck with an orange and white striped awning. The truck is designed to resemble a burger, with a large burger graphic on the roof and another burger prominently displayed on the front counter. Inside the truck, there is a person wearing a uniform, possibly a chef or server, who appears to be serving drinks. The truck also has a menu board and several cups and straws arranged on the counter. The overall design is playful and eye-catching, likely intended to attract customers with its unique and whimsical appearance.	24639326786.png	The image depicts a cartoon character walking outdoors. The character is dressed in a white shirt with black suspenders, black pants, and a brown cap. They are holding an orange box in their right hand and have a backpack on their back. The background features a green tree and some bushes, set against a grassy area. The overall scene suggests a casual, outdoor setting.	27018692457.png	The image depicts a cartoon snail with a large, spiral shell. The snail has a cheerful expression, with a small smile and wide eyes that give it a friendly appearance. Its body is light brown, and its shell is dark brown with a lighter inner spiral. The snail's antennae are long and thin, with small, round eyes at the tips.\n\nOn top of the snail's shell, there are four small, rectangular gift boxes stacked in a pyramid shape. Each box is wrapped in orange paper and tied with a red ribbon, giving them a festive look. The gift boxes are decorated with small yellow flowers and green leaves, adding a touch of color and detail to the scene. The flowers are scattered around the boxes, with some on the sides and others near the top.\n\nThe background of the image is plain white, which helps to highlight the colorful and whimsical nature of the snail and the gift boxes. The overall composition of the image suggests a sense of celebration or gift-giving, possibly for a holiday or special occasion.	31049454151.png	The image depicts a computer setup with a monitor, keyboard, and mouse. The monitor displays an email interface with an envelope icon prominently featured in the center. The email client appears to be open, showing a list of emails on the left side and a single email message on the right side. The background of the email client is a gradient of light purple to white. The keyboard is positioned directly in front of the monitor, and the mouse is placed to the right of the keyboard. The overall design is clean and modern, with a focus on the email interface.	91154094962.png	The image depicts a cartoon-style snail with a brown and orange shell, crawling on a green surface that resembles grass or moss. The snail is positioned in the foreground, facing to the right. Surrounding the snail are several green leaves, some of which appear to be floating or falling, creating a sense of movement. There are also a few small orange leaves scattered around, adding a touch of autumnal color to the scene. The background is plain white, which helps to highlight the vibrant colors of the snail and the leaves. The overall atmosphere of the image is serene and natural, evoking a sense of calm and tranquility.
heart of stone	Test	literal	The ancient golem, with a heart of stone that pulsed with an unnatural rhythm, lumbered through the city streets, its granite feet scraping against the cobblestones.	['79233808856.png', '45033916255.png', '84521115480.png', '13350308803.png', '97523495930.png']	13350308803.png	The image depicts two characters standing opposite each other against a plain white background. The character on the left is an older man with a bald head and a full white beard. He is dressed in a dark suit, white shirt, and brown shoes. His arms are crossed, and he has a somewhat stern or concerned expression on his face.\n\nThe character on the right is a younger boy with short brown hair. He is wearing a plaid shirt and black pants. The boy is holding a small orange bowl in his hands, which he is offering to the older man. His expression appears to be one of concern or pleading.\n\nThe overall scene suggests a moment of interaction between the two characters, possibly involving a request or a plea for something from the older man. The setting is simple and uncluttered, focusing attention on the interaction between the two characters.	45033916255.png	The image depicts a large, irregularly shaped rock with a rough texture and patches of orange and white lichen growth. The rock is situated on a flat surface with some smaller rocks and grasses around its base. To the right of the rock, there is a small tree with green foliage, suggesting a natural, outdoor setting. In the background, there are faint outlines of mountains or hills, indicating a landscape scene. The overall composition gives a sense of a serene, natural environment.	79233808856.png	The image depicts a heart-shaped object that appears to be made of cracked, rusted metal. The surface of the heart is rough and has visible cracks and rust stains, giving it an aged and weathered appearance. The heart's structure is detailed, showing the main chambers and valves, with the aorta and pulmonary arteries extending from the top. The overall color scheme includes shades of gray, brown, and orange, emphasizing the rust and wear. The background is plain white, which contrasts with the textured heart, making it the focal point of the image.	84521115480.png	The image depicts two cartoon characters, a man and a woman, walking side by side. The woman is on the left, wearing a brown skirt, a white blouse with a brown tie, and black high heels. She has a brown bag slung over her shoulder and is holding a clipboard in her right hand. Her hair is styled in a ponytail.\n\nThe man is on the right, dressed in a dark suit with a white shirt and an orange tie. He is carrying a brown briefcase in his left hand and appears to be waving or gesturing with his right hand. Both characters have large, expressive eyes and are smiling, giving off a friendly and energetic vibe. The background is plain white, which helps to emphasize the characters and their actions.	97523495930.png	The image depicts two plush toys placed against a white background. The larger toy is a brown teddy bear with a smiling face, sitting upright. The smaller toy is an orange monkey with a red nose and a simple facial expression, also sitting upright. Both toys appear to be made of soft, fluffy material, giving them a cuddly appearance. The teddy bear is positioned in front of the monkey, and they both seem to be resting against a light-colored pillow with a subtle pattern of small shapes and stars. The overall scene conveys a sense of comfort and playfulness.
party animal	Test	literal	The mischievous raccoon, a notorious party animal of the forest, was caught red-handed raiding the local bakery for birthday cakes.	['19342198514.png', '07306529488.png', '80922176096.png', '08721273042.png', '26309329095.png']	07306529488.png	The image depicts a dog wearing an orange raincoat with the hood up. The dog has a tri-color coat, featuring black, brown, and white fur. The raincoat appears to be made of a waterproof material, as indicated by the small droplets of water visible on the hood. The dog's expression is cheerful, with its tongue slightly out, giving it a happy and lively appearance. The background of the image is plain white, which helps to highlight the dog and the details of the raincoat.	08721273042.png	The image depicts a cartoon character who appears to be celebrating or dancing. The character is wearing a white shirt, black pants, and black shoes. They have brown hair and are holding two bottles in each hand, one in each hand. The character is also wearing sunglasses and has a big smile on their face. There are confetti pieces scattered around the character, adding to the festive atmosphere. The overall mood of the image is joyful and celebratory.	19342198514.png	The image depicts a cute, cartoon-style puppy with brown and white spots. The puppy is wearing a party hat that is striped in orange and black with a red bow on top. It has a pink collar around its neck with a small red bow attached to it. The puppy appears to be blowing a party horn, which is releasing confetti and streamers into the air. The background is plain white, and there are scattered confetti pieces around the puppy, adding to the festive atmosphere. The overall scene suggests a celebration or party.	26309329095.png	The image depicts a person sitting in a chair, facing a television screen. The person is wearing an orange shirt and black pants, with orange shoes. They appear to be watching a sports game on the television, which shows two players on a field, possibly engaged in a football or soccer match. The television is placed on a wooden stand, and there is a potted plant with green leaves on the left side of the stand. In front of the person, on the floor, there is a small cup. The overall scene suggests a relaxed, casual setting where the person is enjoying a sports broadcast.	80922176096.png	The image depicts a cartoon-style illustration of a man entering a room through an open door. The door is black with a glass panel on the left side, and there are orange and black confetti pieces scattered around the doorway and on the floor. The man is wearing a dark shirt and pants, and he appears to be smiling and waving with his right hand. The background is a light peach color, and the overall scene suggests a celebratory or festive atmosphere.
cold feet	Test	idiomatic	True, some investors may still have cold feet from the summer of five years prior and the consequential financial collapse.	['59343739282.png', '92168331118.png', '29807488564.png', '50373128271.png', '35077089633.png']	29807488564.png	The image depicts a serene beach scene viewed from a first-person perspective. The viewer's feet are prominently featured in the foreground, resting on the sandy beach. The sand is a warm, golden color, and the waves of the ocean are gently crashing onto the shore behind the feet. The ocean water is a deep blue-green, with white foam from the waves creating a contrast against the darker water. The sky above is clear with a few scattered clouds, suggesting a calm and pleasant day. The overall atmosphere of the image is peaceful and relaxing, evoking a sense of tranquility and leisure.	35077089633.png	The image depicts an animated character with dark brown hair and a fierce expression. The character is wearing a white shirt, black pants, and a black tie. The background features orange streaks, suggesting a sense of anger or intensity. The character's fists are clenched, adding to the aggressive demeanor.	50373128271.png	The image depicts a person standing in deep snow, wearing brown shorts and orange boots. The snow is falling around the person, and there are snowflakes visible in the air. The person's hands are raised slightly, and the scene has a wintry, cold atmosphere.	59343739282.png	The image depicts a cartoon character dressed in formal attire, including a black suit, white shirt, and black tie. The character has a pink rose pinned to the lapel of their suit jacket. They have short, dark hair and are holding their chin with their hand, suggesting a thoughtful or contemplative pose. The background is plain white, which helps to highlight the character.	92168331118.png	The image depicts a cartoon character sitting at a desk, engrossed in reading a book. The character has brown hair and is wearing an orange vest over a black shirt. The desk is cluttered with various items: a stack of books, a pencil holder filled with pencils and pens, a clock, and a lamp. The scene suggests a study or homework session.
couch potato	Test	idiomatic	The government is introducing an active sport programme at a time when too many of the population are becoming couch potatoes.	['09002878437.png', '84891772104.png', '67148579841.png', '16101473097.png', '93116409491.png']	09002878437.png	The image depicts an animated character sitting on a blue armchair. The character appears to be overweight and is wearing an orange t-shirt with brown stripes and brown pants. The t-shirt has several stains, including dark spots that resemble coffee or chocolate. The character also has a few pieces of food, possibly chips or crackers, scattered around them. The overall scene suggests a casual, relaxed setting with a focus on the character's messy appearance.	16101473097.png	The image depicts an armchair with a large, brown potato sitting on it. The armchair is upholstered in a blue fabric with a camouflage pattern and has wooden legs. There is a plaid cushion placed on the seat of the chair, adding a touch of color to the otherwise monochromatic armchair. The potato is positioned in such a way that it appears to be sitting or resting on the cushion, creating a humorous and whimsical scene. The overall style of the image is cartoonish and playful.	67148579841.png	The image depicts a large, rustic sack filled with numerous brown, speckled eggs. The sack appears to be made of a rough, woven material, possibly burlap or a similar fabric, and is characterized by its rugged texture and worn appearance. The sack is open at the top, spilling out some of the eggs, which are scattered around it on the ground. The eggs themselves have a speckled pattern, resembling those of a chicken or other common egg-laying bird.\n\nThe sack has a sturdy handle made of a rope or twine, which is looped through a small hole in the top of the sack, allowing for easy carrying. The eggs are uniformly sized and appear to be fresh, as indicated by their intact shells and the speckled patterns on them. Some of the eggs are partially visible inside the sack, while others are lying outside, suggesting that the sack might have been recently emptied or is in the process of being filled.\n\nThe background of the image is plain white, which helps to highlight the details of the sack and the eggs. There are no additional objects or elements present in the image, focusing the viewer's attention solely on the sack and its contents.\n\n### Analysis:\n1. **Material of Sack**: The sack is made of a rough, woven material, likely burlap or a similar fabric, which gives it a rustic and durable appearance.\n2. **Contents of Sack**: The sack is filled with numerous brown, speckled eggs. These eggs are uniform in size and appear fresh, indicating they might be from a single source or a specific breed.\n3. **Handle**: The sack has a sturdy handle made of a rope or twine, which is looped through a small hole in the top, making it easy to carry.\n4. **Spilled Eggs**: Some eggs are scattered around the base of the sack, suggesting that the sack might have been recently emptied or is in the process of being filled.\n\n### Relevant Knowledge:\n- **Burlap**: A type of coarse, unbleached cotton fabric, often used for sacks, bags, and other rugged items due to its durability and strength.\n- **Egg Handling**: Fresh eggs typically have a speckled pattern on the shell, which can vary depending on the breed of the laying bird. The eggs in the image appear to be fresh and intact, suggesting they were recently laid.\n\nThis detailed description should provide a comprehensive understanding of the image for any text	84891772104.png	The image depicts an illustration of a person sleeping in bed. The individual is lying on their side, with their head resting on a pillow and their body covered by a blanket. The person appears to be in a relaxed state, with their eyes closed and a slight smile on their face, suggesting they are dreaming or enjoying a peaceful sleep.\n\nThe bed has a dark-colored headboard and is positioned against a plain white background. The person is wearing a long-sleeved shirt that is orange in color, and the blanket they are covered with has a pattern of large, light-colored circles on a darker background. The blanket is folded over the person's body, providing warmth and comfort.\n\nAbove the bed, there is a round wall clock with a brown frame. The clock shows the time as 10:15, with the hands pointing to the numbers 10 and 15 respectively. The clock is hanging on the wall, indicating the current time and adding a sense of realism to the scene.\n\nThe overall atmosphere of the image is calm and serene, emphasizing the importance of rest and sleep. The illustration style is simple yet detailed, making it visually appealing and easy to understand. The use of warm colors, such as the orange shirt and the patterned blanket, adds a cozy and inviting feel to the scene.\n\nIn summary, the image portrays a person sleeping peacefully in bed, with a clock showing the time of 10:15 above them. The setting is calm and serene, highlighting the importance of rest and relaxation.	93116409491.png	The image depicts a cartoon-style character of a young woman with long brown hair. She is holding a video game controller in both hands, appearing excited or enthusiastic. The character is wearing a sleeveless top and pants with an orange belt. The background is plain white, which helps to focus attention on the character.
peas in a pod	Test	literal	We usually stuff it with corks, peanuts or fresh peas in a pod; it is very reasonable price for a long lasting toy which gives years of satisfaction.	['52011237278.png', '51150139847.png', '96280533446.png', '43738328497.png', '80336068423.png']	43738328497.png	The image shows two identical cartoon characters standing side by side. Both characters have brown hair, large brown eyes, and are wearing black shirts with orange accents on the sleeves. They have their arms crossed over their chests and are smiling. The background is plain white.	51150139847.png	The image depicts a clear plastic bag filled with green peas. The peas are tightly packed, and there is a slight mist or fog effect around them, suggesting that they might be frozen or freshly cooked. A few peas are also scattered outside the bag on the white surface below. The bag appears to be sealed at the top, possibly with a twist-tie or clip. The overall scene gives a fresh and healthy impression, commonly associated with green peas as a nutritious food item.	52011237278.png	The image depicts a green pea pod that has been split open, revealing its contents. The pod is positioned on a white background, and it appears to be fresh and vibrant in color. Inside the pod, there are several peas, each with a glossy, smooth surface, indicating they are ripe and ready for consumption. The peas are arranged neatly within the confines of the pod, with some slightly protruding outwards. Additionally, there are a few loose peas scattered around the base of the pod, further emphasizing the freshness and abundance of the peas. The overall presentation is clean and simple, focusing solely on the green peas and their pod.	80336068423.png	The image depicts a bowl filled with a variety of fresh fruits, arranged in a visually appealing manner. The bowl is white and appears to be made of ceramic or porcelain, providing a clean and neutral background that highlights the vibrant colors of the fruits.\n\nHere is a detailed description of the contents of the bowl:\n\n1. **Lemon**: There is a half-sliced lemon on the left side of the bowl. The lemon slice reveals its bright yellow interior, which contrasts nicely with the other fruits.\n\n2. **Grapes**: A cluster of red grapes is situated towards the center-left of the bowl. The grapes have a glossy appearance, indicating freshness.\n\n3. **Strawberries**: Two strawberries are placed near the center-right of the bowl. They are bright red with green stems, adding a pop of color to the arrangement.\n\n4. **Blueberries**: A small bunch of blueberries is located towards the right side of the bowl. The blueberries are dark blue and appear plump and fresh.\n\n5. **Apples**: There are two apples in the bowl. One apple is positioned towards the center-right, while the other is slightly behind it. Both apples have a reddish-orange hue.\n\n6. **Pears**: Two pears are present in the bowl. One pear is located towards the top right, while the other is slightly below it. The pears have a light brown skin with a hint of green.\n\n7. **Oranges**: There are two oranges in the bowl. One orange is positioned towards the top left, while the other is slightly below it. The oranges have a bright orange color with some green leaves attached.\n\n8. **Lemon**: Another lemon is visible at the bottom left of the bowl, partially obscured by the other fruits.\n\n9. **Grapefruit**: A grapefruit is located towards the top center of the bowl. It has a distinctive orange color with a green leaf attached.\n\n10. **Persimmon**: A persimmon is situated towards the bottom left of the bowl. It has a deep orange color and a star-shaped fruit stalk.\n\n10. **Lemon**: A lemon slice is also present towards the bottom left of the bowl, similar to the one on the left side but slightly more obscured.\n\nThe arrangement of the fruits is aesthetically pleasing, with a mix of colors and shapes creating a balanced composition. The fruits appear fresh and ripe, suggesting they are ready to be consumed.\n\nIn summary, the	96280533446.png	The image depicts two children standing outdoors, facing each other. The child on the left has red hair and is wearing an orange shirt and brown pants. The child on the right has black hair and is also wearing an orange shirt and brown pants. They appear to be engaged in a conversation or interaction. \n\nIn the background, there is a tree with green leaves and some orange flowers or fruits hanging from it. The ground is covered with grass and small plants, and there is a wooden fence behind the children. The overall scene suggests a warm, outdoor setting, possibly during spring or summer. The illustration style is cartoonish and colorful, giving the image a cheerful and friendly atmosphere.
sour grapes	Test	idiomatic	At first I thought that complaints that the prize was politically motivated were just sour grapes, but two things about this year's award suggest otherwise.	['92101799580.png', '42436595903.png', '02185550911.png', '29026133929.png', '00860834084.png']	00860834084.png	The image depicts a cartoon character of a young boy standing against a brown circular background. The boy has short, dark brown hair and is wearing a white t-shirt and black pants. He appears to be yawning with his hands covering his mouth. The overall style of the illustration is simple and cute, with clean lines and bright colors.	02185550911.png	The image depicts a cluster of dark purple grapes with green leaves attached to the stem. The grapes are plump and round, with a glossy surface that reflects light, giving them a vibrant appearance. The leaves are large, with prominent veins and a slightly serrated edge, adding to the realistic look of the illustration. The background is plain white, which makes the colors of the grapes and leaves stand out more vividly.	29026133929.png	The image depicts a cartoon character with brown hair, wearing a white shirt and dark pants. The character is holding a bunch of grapes close to their face, seemingly enjoying the aroma or taste of the fruit. The grapes are yellowish in color and are attached to green stems. The character's eyes are closed, and they appear to be savoring the moment. The overall style of the image is vibrant and playful, with a focus on the character's enjoyment of the grapes.	42436595903.png	The image depicts two children engaged in a playful interaction. The child on the left is riding an orange bicycle, while the child on the right is standing and clapping their hands. Both children are wearing matching orange shirts and dark shorts. The background is plain white, which helps to highlight the subjects of the image. The overall scene conveys a sense of joy and camaraderie between the two children.	92101799580.png	The image depicts two cartoon characters in an outdoor setting. The character on the left is a green-skinned, anthropomorphic creature with brown hair and a surprised expression. This character is wearing an orange shirt and gray shorts, and has a walking stick in one hand. The character on the right is a human-like figure riding a bicycle. This character also has brown hair and is wearing an orange shirt and blue pants. The background is minimalistic, featuring a white sky and some green plants at the bottom. The overall scene appears to be playful and whimsical.
hot air	Test	literal	The concentrate is then passed through an atomising spray into a stream of hot air to evaporate the water and leave a fine coffee powder.	['27685661048.png', '12707396711.png', '28600146338.png', '69693176738.png', '85108170750.png']	12707396711.png	The image depicts an electric fan with a distinctive design. The fan has a circular base and a tall, slender stand. The fan blades are visible through the transparent section of the fan body, which is orange in color. The fan appears to be emitting a cloud of smoke or steam from its top, suggesting that it might be malfunctioning or overheating. The background is plain white, which helps to highlight the fan and the smoke effect.	27685661048.png	The image depicts a vibrant scene of hot air balloons in flight. The central focus is on a large, orange and white striped hot air balloon with a bright flame at its base, which is illuminating the surrounding area. The basket of the balloon is filled with people, suggesting that they are enjoying a hot air balloon ride.\n\nIn the background, there are several other hot air balloons of various colors and designs floating in the sky. These balloons include red, white, and blue patterns, as well as some with solid colors like light blue and red. The sky appears to be clear, indicating good weather conditions for flying.\n\nThe overall atmosphere of the image is lively and adventurous, capturing the excitement of a hot air balloon ride. The bright colors and dynamic composition create a sense of movement and joy.	28600146338.png	The image depicts two individuals sitting on a wooden bench in what appears to be a park or garden setting. The bench is situated on a patch of grass, and there is a small tree with green leaves to the left of the bench. The background is plain white, which helps to emphasize the subjects and the setting.\n\nThe individual on the left is wearing a black long-sleeve shirt and black pants, along with black shoes. They are holding a cup of coffee in their right hand, which has steam rising from it, indicating that the coffee is hot. The individual on the right is wearing an orange long-sleeve shirt and black pants, paired with red shoes. They are also holding a cup of coffee in their right hand, which similarly has steam rising from it.\n\nBoth individuals are facing each other, suggesting they might be engaged in conversation or simply enjoying each other's company while drinking their coffee. The overall atmosphere of the image is calm and relaxed, with the setting providing a peaceful environment for the interaction between the two people.	69693176738.png	The image depicts a cartoon-style illustration of a man speaking into a microphone. He is wearing a brown suit with a white shirt and an orange tie. The background features a group of identical men, all dressed in the same brown suits with orange ties, standing in a line. The man in the foreground appears to be addressing or presenting to the group. The overall scene suggests a formal or professional setting, possibly a speech or presentation.	85108170750.png	The image depicts a glass containing a liquid, likely water or a similar clear beverage, with a large ice cube floating in it. The glass is transparent and has a rounded shape, with a wide rim and a narrow base. The liquid inside the glass appears to be blue, suggesting it might be a cold drink or a beverage with a blue tint. The ice cube is centrally positioned and is surrounded by small droplets of water, indicating that the ice is melting slightly. The overall appearance of the image is clean and simple, with a focus on the glass and its contents.
green light	Test	idiomatic	The Scotish government will give the green light for up to 1,000 offshore wind turbines to be built in two locations off the Scottish coast.	['62436531550.png', '11179580380.png', '43930726135.png', '58529637108.png', '86644478548.png']	11179580380.png	The image depicts a cartoon character sitting at a desk, engrossed in reading a document. The character is wearing a dark suit with a white shirt and has an afro hairstyle. On the desk, there is a cup with a straw, a pen, and a pair of glasses. The setting appears to be an office or study environment.	43930726135.png	The image depicts a traffic light mounted on a pole, positioned at an intersection. The traffic light has three distinct lights: red, yellow, and green. At the moment, the red light is illuminated, indicating that vehicles or pedestrians should stop. The background consists of a simple, light-colored sky with a few scattered clouds, and the ground appears to be a smooth, flat surface, possibly asphalt, with a faint white line marking the edge of the road or sidewalk. The overall scene suggests a typical urban or suburban setting where traffic signals regulate vehicle movement.	58529637108.png	The image depicts a traffic light mounted on a pole. The traffic light has three circular lights, each encased in a black housing. The top and middle lights are covered by black shades, while the bottom light is exposed and currently illuminated green. The pole holding the traffic light is also black and appears to be made of metal. The background of the image is plain white, which helps to highlight the traffic light.	62436531550.png	The image depicts a cartoon character of a woman sitting at a desk. She is wearing a black suit with a white shirt and a black tie. The character has curly hair and is giving a thumbs-up gesture with both hands. On the desk in front of her, there is a cup filled with pencils. The background is plain white, which makes the character and the desk stand out prominently.	86644478548.png	The image depicts a single, inflated blue balloon. The balloon is round and has a glossy surface, reflecting light and giving it a shiny appearance. It is attached to a brown string or ribbon at the bottom, which is tied into a small loop. The background of the image is plain white, which makes the blue color of the balloon stand out prominently. There are no other objects or elements present in the image.
